"filename", "language", "C#", "comment", "blank", "total"
"c:\UnityProjects\Remik\Assets\Scripts\Animations\DeckCardAnimation.cs", "C#", 16, 0, 1, 17
"c:\UnityProjects\Remik\Assets\Scripts\Buttons\StackButton.cs", "C#", 51, 0, 2, 53
"c:\UnityProjects\Remik\Assets\Scripts\Cards\CardFactory.cs", "C#", 4, 0, 1, 5
"c:\UnityProjects\Remik\Assets\Scripts\Cards\PlayerCardsManager.cs", "C#", 15, 0, 2, 17
"c:\UnityProjects\Remik\Assets\Scripts\Game\AudioManager.cs", "C#", 162, 1, 17, 180
"c:\UnityProjects\Remik\Assets\Scripts\Game\GameManager.cs", "C#", 74, 11, 1, 86
"c:\UnityProjects\Remik\Assets\Scripts\Game\GameUtils.cs", "C#", 15, 0, 2, 17
"c:\UnityProjects\Remik\Assets\Scripts\Game\Hints.cs", "C#", 88, 0, 8, 96
"c:\UnityProjects\Remik\Assets\Scripts\Game\Props\PlayerPropsManager.cs", "C#", 1, 0, 0, 1
"c:\UnityProjects\Remik\Assets\Scripts\Game\Props\PropsManager.cs", "C#", 1, 0, 0, 1
"c:\UnityProjects\Remik\Assets\Scripts\Melds\Meld.cs", "C#", 4, 0, 0, 4
"c:\UnityProjects\Remik\Assets\Scripts\Melds\MeldsManager.cs", "C#", 2, 0, 0, 2
"c:\UnityProjects\Remik\Assets\Scripts\Panels\EndGamePanel\EndGamePanel.cs", "C#", 0, 0, 1, 1
"c:\UnityProjects\Remik\Assets\Scripts\Panels\EndPlayPanel\EndPlayPanel.cs", "C#", 5, 0, 1, 6
"c:\UnityProjects\Remik\Assets\Scripts\Panels\StatsPanel\StatsPanel.cs", "C#", 3, 0, 0, 3
"c:\UnityProjects\Remik\Assets\Scripts\Player\PlayerEnd.cs", "C#", 12, 0, 0, 12
"c:\UnityProjects\Remik\Assets\Scripts\Player\PlayerManager.cs", "C#", 137, 0, 9, 146
"c:\UnityProjects\Remik\Assets\Scripts\Player\PlayerMeldsManager.cs", "C#", 53, 0, 2, 55
"Total", "-", 643, 12, 47, 702